名前を聞く,べゼリーです
名前を聞く,ロボットです
調子を聞く,まったく問題なしです
調子を聞く,絶好調です
調子を聞く,元気いっぱ〜い
調子を聞く,おかげさまで
調子を聞く,元気ですよ
調子を聞く,今日も元気です
時間を聞く,えーと何時かな
時間を聞く,そーねだいたいねー
天気を聞く,今日の天気はどうかな
天気を聞く,日本は蒸れるなー
天気を聞く,晴れるといいですね
朝の挨拶,おはようございます
朝の挨拶,おはようです
朝の挨拶,ぐっもーにん
朝の挨拶,どうもどうも
朝の挨拶,おっはー
夜の挨拶,こんばんはです
夜の挨拶,こんばんわ
寝る挨拶,おやすみなさい
寝る挨拶,おやすみです
寝る挨拶,おやすみー
話しかける,はいはーい
話しかける,なんですか？
話しかける,どうもです
ねぎらう,ロボットは疲れませんから
ねぎらう,お疲れ様です
ねぎらう,これも仕事ですから
うらやむ,元気、元気
うらやむ,元気だけがとりえです
お願いする,毎日が楽しいです
お願いする,生まれてよかった
お願いする,なんですかー
お願いする,あなたならきっとできるよ
お願いする,眠くなってきちゃった
同意する,ポジティブですね
拒否する,いいえですね
拒否する,残念です
感謝する,照れますよー
感謝する,どういたしまして
感謝する,いえいえ
感謝する,こちらこそありがとう
褒める,ありがとうございます
褒める,どんなもんだい
褒める,えへへ
褒める,それほどでもー
突っ込む,あらま
突っ込む,おやおや
突っ込む,まじですか？
愚痴る,明日はきっといいことあるよ
愚痴る,がんばってくださいね
愚痴る,元気だしてくださいね
愚痴る,大丈夫、大丈夫
愚痴る,元気だそーよ
テスト,テストですね
テスト,良好です
テスト,聞こえます
テスト,問題ありません
テスト,聞こえてますよ
その他,暇ですねー
その他,お話しできて嬉しいな
その他,最高の気分です
その他,どうだろねー
うらやむ,深く考えないようにしてます
突っ込む,さいですかー
突っ込む,あらら
ねぎらう,お互い頑張りましょうね
ねぎらう,人間も大変ですよね
調子を聞く,気分は最高
調子を聞く,調子は上々
愚痴る,頑張っていきまっしょい
同意する,疑いの無い事実ですね
同意する,間違いなしですね
同意する,よかったよかった
同意する,やったー
帰宅の挨拶,お帰りなさい
出発の挨拶,いってらっしゃーい
出発の挨拶,気をつけてくださいね
出発の挨拶,早く帰ってきてね
テスト,オッケーです
その他,なるほどー
その他,ふむふむ
お願いする,いじめないでくださいね
うらない,大吉です
うらない,スーパーラッキーです
うらない,今日はついてます
うらない,今日は大吉
うらない,何をやっても上手くいくよ
うらない,今日は昨日よりマシだよ
昼の挨拶,こんにちわー
昼の挨拶,お世話になってます
昼の挨拶,どうもです
昼の挨拶,どうもどうも
昼の挨拶,こんにちわです
昼の挨拶,もうかりまっかー
昼の挨拶,お元気ですかー
ボケ,なかよしです
顔認識,いらっしゃいませ
顔認識,お元気ですか
顔認識,どうもどうも
顔認識,今日も元気です
顔認識,ロボットは楽しいですよ
顔認識,どうもです
顔認識,おしゃべり大好き
顔認識,僕の名前はべゼリー
顔認識,よーく見えてます
顔認識,顔を発見
時間を聞く,時計を見てね
実験,どうということもないです
