名前を聞く    なまえは
名前を聞く    おなまえわ
名前を聞く    あなたのなまえは
名前を聞く    きみはだれ
調子を聞く    ぐあいはどう
調子を聞く    げんきですか
調子を聞く    おげんきですか
時間を聞く    いまなんじ
時間を聞く    なんじ
天気を聞く    てんき
天気を聞く    きょうのてんき
朝の挨拶    おはよう
朝の挨拶    おっは
朝の挨拶    おはようございます
朝の挨拶    もーにんぐ
夜の挨拶    こんばんわ
寝る挨拶    おやすみ
寝る挨拶    おやすみなさい
話しかける    べぜりい
話しかける    べぜりー
話しかける    もしもし
話しかける    どうも
話しかける    はーい
話しかける    よろしく
話しかける    よろしくです
話しかける    よろしくおねがいします
ねぎらう    おつかれ
ねぎらう    おつかれさま
ねぎらう    おつかれさまです
ねぎらう    ごくろう
ねぎらう    ごくろうさま
うらやむ    げんきですね
うらやむ    げんきだね
お願いする    なにかいって
お願いする    なにかはなして
お願いする    おねがいきいて
お願いする    おねがいです
お願いする    おどって
お願いする    ひかって
同意する    はい
同意する    はあい
同意する    いえす
同意する    そうです
拒否する    のお
拒否する    いいえ
拒否する    ちがいます
拒否する    ありえない
感謝する    ありがとう
感謝する    ありがとうございます
感謝する    さんきゅー
褒める    すごいね
褒める    すごい
褒める    すごいじゃん
褒める    おもしろい
褒める    よくしってるね
突っ込む    こわれてる
突っ込む    ばぐってる
突っ込む    おかしい
突っ込む    へんでしょ
突っ込む    ちがうよ
突っ込む    ちがうね
突っ込む    ちがう
突っ込む    ちがってる
突っ込む    ちがうし
突っ込む    だめじゃん
突っ込む    だめだね
突っ込む    だめです
愚痴る    つかれた
愚痴る    かなしい
愚痴る    もうやだ
愚痴る    しにたい
愚痴る    はらへった
愚痴る    さいあく
テスト    てすとです
テスト    てすと
テスト    きこえますか
その他    ばか
その他    しね
その他    くそ
その他    うんこ
その他    ころす
うらやむ    うらやましい
愚痴る    ねむい
愚痴る    ねてない
褒める    かわいい
突っ込む    おまえじゃないよ
突っ込む    おまえじゃねえよ
突っ込む    おまえにいってねえよ
調子を聞く    げんき
調子を聞く    げんきしてる
うらやむ    おまえはいいな
うらやむ    げんきあるな
褒める    かわいいね
褒める    さえてるね
褒める    すごいですね
愚痴る    もうつかれた
愚痴る    ねむいよ
時間を聞く    ほったいもいじるな
テスト    ほんじつはせいてんなり
テスト    ただいままいくのてすとちゅう
話しかける    どうおもう
感謝する    げんきづけられたよ
感謝する    たすかったよ
突っ込む    ごまかすな
同意する    せいかいです
同意する    しってる
同意する    よかったね
帰宅の挨拶    ただいま
出発の挨拶    いってきます
調子を聞く    ちょうしはどう
出発の挨拶    いってきまーす
テスト    ちぇっく
褒める    あたまいい
褒める    ゆうしゅうだね
ボケ    あれくさ
ボケ    おーけーぐーぐる
ボケ    へいしり
突っ込む    ばーか
ねぎらう    よくやった
うらやむ    いいなあ
出発の挨拶    いってくる
出発の挨拶    いきまーす
うらない    うらないして
うらない    うらなって
うらない    うらない
うらない    どうしよう
うらない    どうしたらいい
突っ込む    むしかよ
昼の挨拶    こんにちは
昼の挨拶    こんちはー
昼の挨拶    ちわー
昼の挨拶    おっす
昼の挨拶    はろー
昼の挨拶    よお
昼の挨拶    へいっ
愚痴る    もういや
愚痴る    ひどすぎ
突っ込む    むしすんな
